REF_DATE,GEO,Type of crop,Average farm price (dollars per tonne),Average yield (kilograms per hectare),Production (metric tonnes),Seeded area (hectares),Total farm value (dollars)
1908,AB,Barley,15.0,1585.0,84000.0,53000.0,1296
1908,AB,Flaxseed,29.0,950.0,1900.0,2000.0,56
1908,AB,Oats,18.0,1675.0,352000.0,210000.0,6316
1908,AB,"Rye, all",23.0,1665.0,5000.0,3000.0,117
1908,AB,Sugar beets,0.55,18100.0,38100.0,2100.0,208
1908,AB,Tame hay,0.84,5050.0,101000.0,20000.0,846
1908,AB,"Wheat, all",25.0,1690.0,186000.0,110000.0,4617
1908,BC,Barley,0.0,0.0,0.0,0.0,0
1908,BC,Oats,0.0,0.0,0.0,0.0,0
1908,BC,"Wheat, all",0.0,0.0,0.0,0.0,0
1908,CA,Barley,21.0,1440.0,1016850.0,707100.0,21353
1908,CA,"Beans, all dry (white and coloured)",59.0,1395.0,33800.0,24200.0,1988
1908,CA,Buckwheat,27.0,1320.0,155700.0,117950.0,4269
1908,CA,Corn for grain,20.0,3935.0,580600.0,147600.0,11834
1908,CA,Corn for silage,0.44,25360.0,2665000.0,105100.0,11812
1908,CA,Flaxseed,38.0,680.0,38100.0,56000.0,1457
1908,CA,Mixed grains,26.0,1650.0,388750.0,235550.0,10140
1908,CA,Oats,25.0,1205.0,3861650.0,3200550.0,96489
1908,CA,"Peas, dry",31.0,1150.0,192100.0,167050.0,5970
1908,CA,"Rye, all",29.0,1065.0,43902.0,41281.0,1262
1908,CA,Sugar beets,0.58,22500.0,98900.0,4400.0,578
1908,CA,Tame hay,1.17,3120.0,10388000.0,3326000.0,121884
1908,CA,"Wheat, all",30.0,1145.0,3060250.0,2676250.0,91228
1908,NB,Barley,32.0,1215.0,1700.0,1400.0,55
1908,NB,"Beans, all dry (white and coloured)",77.0,1125.0,900.0,800.0,69
1908,NB,Buckwheat,27.0,1375.0,34250.0,24950.0,909
1908,NB,Corn for silage,0.39,22860.0,8000.0,350.0,31
1908,NB,Mixed grains,27.0,1440.0,3100.0,2150.0,85
1908,NB,Oats,33.0,945.0,78000.0,82500.0,2539
1908,NB,"Peas, dry",43.0,590.0,650.0,1100.0,28
1908,NB,"Rye, all",29.0,1260.0,102.0,81.0,3
1908,NB,Tame hay,1.03,3010.0,845000.0,281000.0,8664
1908,NB,"Wheat, all",42.0,1165.0,9500.0,8150.0,402
1908,NS,Barley,33.0,1550.0,6050.0,3900.0,202
1908,NS,"Beans, all dry (white and coloured)",81.0,1200.0,1500.0,1250.0,121
1908,NS,Buckwheat,30.0,1340.0,9800.0,7300.0,295
1908,NS,Corn for silage,0.33,16920.0,11000.0,650.0,36
1908,NS,Mixed grains,30.0,1785.0,5350.0,3000.0,161
1908,NS,Oats,34.0,1210.0,65450.0,54200.0,2224
1908,NS,"Peas, dry",45.0,915.0,550.0,600.0,25
1908,NS,"Rye, all",27.0,1000.0,300.0,300.0,8
1908,NS,Tame hay,1.14,3810.0,988000.0,259000.0,11242
1908,NS,"Wheat, all",39.0,1170.0,9750.0,8350.0,378
1908,ON,Barley,24.0,1530.0,459900.0,301000.0,11217
1908,ON,"Beans, all dry (white and coloured)",56.0,1410.0,24400.0,17300.0,1355
1908,ON,Buckwheat,25.0,1345.0,63300.0,47100.0,1570
1908,ON,Corn for grain,20.0,4120.0,552000.0,134000.0,10871
1908,ON,Corn for silage,0.43,26060.0,2241000.0,86000.0,9708
1908,ON,Mixed grains,24.0,1770.0,301600.0,170400.0,7315
1908,ON,Oats,26.0,1275.0,1601100.0,1257900.0,41425
1908,ON,"Peas, dry",30.0,1195.0,171300.0,143500.0,5123
1908,ON,"Rye, all",28.0,1020.0,26200.0,25700.0,745
1908,ON,Sugar beets,0.61,26400.0,60800.0,2300.0,370
1908,ON,Tame hay,1.21,3270.0,4706000.0,1438000.0,57160
1908,ON,"Wheat, all",33.0,1495.0,491500.0,328900.0,16021
1908,ON,"Wheat, spring",32.0,1060.0,61500.0,57900.0,1961
1908,SK,Barley,18.0,1275.0,42000.0,33000.0,754
1908,SK,Flaxseed,39.0,645.0,29100.0,45000.0,1128
1908,SK,Oats,19.0,1195.0,450000.0,376000.0,8470
1908,SK,"Rye, all",45.0,1000.0,1000.0,1000.0,45
1908,SK,Tame hay,0.55,2400.0,24000.0,10000.0,133
1908,SK,"Wheat, all",27.0,975.0,946000.0,970000.0,25883
1909,AB,Barley,15.0,1745.0,131000.0,75000.0,2016
1909,AB,Flaxseed,41.0,1400.0,2800.0,2000.0,114
1909,AB,Oats,16.0,1785.0,592000.0,332000.0,9287
1909,AB,"Rye, all",20.0,1335.0,4000.0,3000.0,81
1909,AB,Sugar beets,0.55,18100.0,14500.0,800.0,80
1909,AB,Tame hay,0.99,4050.0,81000.0,20000.0,800
1909,AB,"Wheat, all",27.0,1675.0,261000.0,156000.0,7037
1909,BC,Barley,0.0,0.0,0.0,0.0,0
1909,BC,Oats,0.0,0.0,0.0,0.0,0
1909,BC,"Wheat, all",0.0,0.0,0.0,0.0,0
1909,CA,Barley,21.0,1600.0,1206450.0,755200.0,25434
1909,CA,"Beans, all dry (white and coloured)",52.0,1595.0,35950.0,22550.0,1881
1909,CA,Buckwheat,27.0,1485.0,169900.0,114350.0,4554
1909,CA,Corn for grain,26.0,3450.0,489600.0,142000.0,12760
1909,CA,Corn for silage,0.6,23060.0,2521000.0,109300.0,15116
1909,CA,Flaxseed,49.0,1005.0,56300.0,56000.0,2761
1909,CA,Mixed grains,28.0,1680.0,395850.0,235550.0,10916
1909,CA,Oats,22.0,1450.0,5451400.0,3764800.0,122390
1909,CA,"Peas, dry",32.0,1395.0,221650.0,159150.0,7124
1909,CA,"Rye, all",29.0,1180.0,43902.0,37181.0,1254
1909,CA,Sugar beets,0.64,19500.0,78000.0,4000.0,500
1909,CA,Tame hay,1.23,3240.0,10776000.0,3325000.0,132288
1909,CA,"Wheat, all",31.0,1445.0,4537850.0,3135950.0,141320
1909,NB,Barley,32.0,1575.0,2050.0,1300.0,65
1909,NB,"Beans, all dry (white and coloured)",99.0,3070.0,2150.0,700.0,212
1909,NB,Buckwheat,25.0,1550.0,37600.0,24250.0,950
1909,NB,Corn for silage,0.35,36670.0,11000.0,300.0,38
1909,NB,Mixed grains,30.0,1650.0,3300.0,2000.0,98
1909,NB,Oats,31.0,1060.0,89050.0,83850.0,2801
1909,NB,"Peas, dry",49.0,1790.0,1700.0,950.0,84
1909,NB,"Rye, all",29.0,1260.0,102.0,81.0,3
1909,NB,Tame hay,1.13,2810.0,777000.0,277000.0,8777
1909,NB,"Wheat, all",41.0,1350.0,10750.0,7950.0,440
1909,NS,Barley,35.0,1335.0,4800.0,3600.0,170
1909,NS,"Beans, all dry (white and coloured)",83.0,1955.0,2250.0,1150.0,186
1909,NS,Buckwheat,29.0,1375.0,10250.0,7450.0,294
1909,NS,Corn for silage,0.94,13330.0,8000.0,600.0,75
1909,NS,Mixed grains,31.0,1805.0,5150.0,2850.0,159
1909,NS,Oats,33.0,1200.0,67200.0,55900.0,2214
1909,NS,"Peas, dry",46.0,2635.0,1450.0,550.0,66
1909,NS,"Rye, all",30.0,2000.0,400.0,200.0,12
1909,NS,Tame hay,1.24,3950.0,1016000.0,257000.0,12602
1909,NS,"Wheat, all",43.0,1335.0,11000.0,8250.0,477
1909,ON,Barley,26.0,1560.0,456200.0,292000.0,11670
1909,ON,"Beans, all dry (white and coloured)",41.0,1540.0,24600.0,16000.0,1000
1909,ON,Buckwheat,26.0,1465.0,76900.0,52500.0,1993
1909,ON,Corn for grain,26.0,3590.0,463000.0,129000.0,11837
1909,ON,Corn for silage,0.61,22630.0,2082000.0,92000.0,12691
1909,ON,Mixed grains,26.0,1745.0,297800.0,170900.0,7864
1909,ON,Oats,27.0,1325.0,1684000.0,1271600.0,45315
1909,ON,"Peas, dry",31.0,1425.0,197000.0,138100.0,6008
1909,ON,"Rye, all",28.0,1205.0,27900.0,23200.0,770
1909,ON,Sugar beets,0.66,19800.0,63500.0,3200.0,420
1909,ON,Tame hay,1.4,3030.0,4330000.0,1431000.0,60618
1909,ON,"Wheat, all",37.0,1550.0,442200.0,285500.0,16370
1909,ON,"Wheat, spring",36.0,1170.0,59200.0,50500.0,2115
1909,SK,Barley,17.0,1780.0,98000.0,55000.0,1618
1909,SK,Flaxseed,49.0,1010.0,45400.0,45000.0,2229
1909,SK,Oats,16.0,1895.0,1416000.0,747000.0,23224
1909,SK,"Rye, all",41.0,1000.0,1000.0,1000.0,41
1909,SK,Tame hay,0.55,3300.0,33000.0,10000.0,180
1909,SK,"Wheat, all",30.0,1555.0,2319000.0,1491000.0,68669
1910,AB,Barley,20.0,1100.0,54000.0,49000.0,1075
1910,AB,Corn for silage,0.9,4000.0,2000.0,500.0,18
1910,AB,Flaxseed,82.0,155.0,2000.0,13000.0,163
1910,AB,Mixed grains,21.0,1145.0,800.0,700.0,17
1910,AB,Oats,22.0,825.0,261000.0,317000.0,5749
1910,AB,"Peas, dry",40.0,1000.0,100.0,100.0,4
1910,AB,"Rye, all",20.0,1000.0,3000.0,3000.0,59
1910,AB,Sugar beets,0.55,13200.0,5300.0,400.0,29
1910,AB,Tame hay,1.12,1970.0,118000.0,60000.0,1321
1910,AB,"Wheat, all",27.0,695.0,247000.0,356000.0,6676
1910,BC,Barley,39.0,1375.0,1100.0,800.0,43
1910,BC,"Beans, all dry (white and coloured)",87.0,1500.0,150.0,100.0,13
1910,BC,Corn for silage,0.6,15000.0,3000.0,200.0,18
1910,BC,Mixed grains,44.0,1250.0,250.0,200.0,11
1910,BC,Oats,37.0,2030.0,27200.0,13400.0,1005
1910,BC,"Peas, dry",37.0,2000.0,1200.0,600.0,44
1910,BC,"Rye, all",30.0,1000.0,200.0,200.0,6
1910,BC,Tame hay,2.0,3600.0,198000.0,55000.0,3963
1910,BC,"Wheat, all",40.0,1475.0,5600.0,3800.0,224
1910,CA,Barley,23.0,1215.0,628550.0,518350.0,14654
